movieId,avg_rating,rating_count,weighted_score
1,3.915422885572139,201,3.8967645610324064
2,3.4130434782608696,92,3.422653448034941
3,3.2804878048780486,41,3.325269434988485
4,2.125,4,3.1100223247769727
5,3.0256410256410255,39,3.123332801690624
6,3.925287356321839,87,3.883653324423991
7,3.058139534883721,43,3.1424075268321894
8,2.5,6,3.127769087925043
9,3.1666666666666665,12,3.322183953601313
10,3.5,121,3.500979192962823
11,3.7586206896551726,58,3.723209914183488
12,2.6333333333333333,15,2.9804463654917965
13,3.25,4,3.436700874460631
14,3.8,15,3.686803320511814
15,3.0555555555555554,9,3.2937712835519415
16,3.869565217391304,69,3.8253322881980982
17,3.7413793103448274,58,3.7084552131065216
18,3.7142857142857144,14,3.631568991344448
19,2.707792207792208,77,2.798508330321699
20,2.576923076923077,13,2.978729252281582
21,3.5064935064935066,77,3.5072377286391054
22,3.193548387096774,31,3.2701546551559666
23,3.1923076923076925,13,3.3299914607461174
24,3.0,18,3.1805781055119144
25,3.6742424242424243,66,3.653454999270133
26,3.5,8,3.5072041576913873
27,2.8333333333333335,6,3.2545518989682622
28,4.1875,8,3.816627346394502
29,4.0344827586206895,29,3.9030444950188397
30,2.5,2,3.3410238146852063
31,3.121212121212121,33,3.2107669574607143
32,3.9746835443037973,158,3.9477904925432066
34,3.6767241379310347,116,3.664007572836364
36,3.794642857142857,56,3.7528020017334063
38,2.1666666666666665,3,3.196912464319696
39,3.2556818181818183,88,3.2814170898625674
40,5.0,1,3.651095368093315
41,3.730769230769231,13,3.637345893152586
42,3.0,6,3.3179433044898716
43,3.125,4,3.4004032578291135
44,2.551282051282051,39,2.7440402021571404
45,3.34,25,3.388657224548575
46,3.090909090909091,11,3.2895574434225
47,3.926470588235294,170,3.9039941609550715
48,3.0677966101694913,59,3.131087711112525
49,3.0,1,3.4654806759470254
50,4.217032967032967,182,4.181152641162985
52,3.522727272727273,22,3.5197656581730827
53,5.0,1,3.651095368093315
54,2.3333333333333335,3,3.23605137963844
55,4.0,1,3.5582880220201702
57,3.0,4,3.364105641197596
58,4.053571428571429,28,3.913714101842169
60,3.1481481481481484,27,3.2451544878829144
61,4.0,4,3.654486574249737
62,3.760869565217391,69,3.7301244286988373
63,2.6666666666666665,6,3.1911604934466524
64,2.0,4,3.073724708145455
65,2.5434782608695654,23,2.8326639222667263
66,2.25,6,3.032681979642629
68,3.4,5,3.474826003257811
69,3.71875,16,3.640758591093652
70,3.4361702127659575,47,3.449415313602576
71,1.7,5,2.899530249930072
72,3.0833333333333335,6,3.3496390072506763
73,3.6,10,3.5570444221797417
74,4.0,7,3.7162773172569707
75,1.0,1,3.2798659838007356
76,3.5833333333333335,12,3.5518049826116567
77,4.0,1,3.5582880220201702
78,3.3333333333333335,3,3.470884871550904
79,2.857142857142857,14,3.1268373236808333
80,4.0,2,3.5958006874980644
81,3.05,10,3.2789155997024997
82,4.2,5,3.7455534165885123
85,3.6666666666666665,6,3.5715089265763096
86,3.85,10,3.6834666142148516
87,2.75,4,3.291510407934561
88,3.2083333333333335,12,3.3451460565023474
89,3.3125,8,3.42281601531781
92,3.2,5,3.407144149925136
93,2.6875,8,3.141522207405888
94,3.9375,8,3.704109823229733
95,3.019230769230769,78,3.07423022329929
96,3.5,1,3.511884348983598
97,4.125,4,3.6907841908812546
99,5.0,2,3.7656519360399696
100,2.727272727272727,11,3.097018418404362
101,3.6842105263157894,19,3.626083503708836
102,1.75,4,3.0011294748824198
103,3.0,1,3.4654806759470254
104,3.4367088607594938,79,3.445120298157601
105,3.275,20,3.3531672647259336
106,4.0,1,3.5582880220201702
107,3.272727272727273,22,3.3466736543324167
108,4.0,1,3.5582880220201702
