userId,movieId,rating,rated_at,days_since_rated
1,804,4.0,2000-07-30 18:08:19,6629
1,1210,5.0,2000-07-30 18:08:19,6629
1,2628,4.0,2000-07-30 18:08:43,6629
1,2826,4.0,2000-07-30 18:08:43,6629
1,2018,5.0,2000-07-30 18:08:43,6629
1,3578,5.0,2000-07-30 18:11:08,6629
1,3617,4.0,2000-07-30 18:11:23,6629
1,3744,4.0,2000-07-30 18:11:34,6629
1,101,5.0,2000-07-30 18:14:28,6629
1,441,4.0,2000-07-30 18:14:28,6629
1,2858,5.0,2000-07-30 18:14:28,6629
1,1473,4.0,2000-07-30 18:14:35,6629
1,2997,4.0,2000-07-30 18:14:56,6629
1,235,4.0,2000-07-30 18:15:08,6629
1,1060,4.0,2000-07-30 18:15:24,6629
1,356,4.0,2000-07-30 18:16:02,6629
1,2700,5.0,2000-07-30 18:16:25,6629
1,1500,4.0,2000-07-30 18:16:25,6629
1,223,3.0,2000-07-30 18:16:25,6629
1,3243,3.0,2000-07-30 18:18:13,6629
1,2395,5.0,2000-07-30 18:18:13,6629
1,3253,5.0,2000-07-30 18:18:27,6629
1,1517,5.0,2000-07-30 18:18:27,6629
1,1580,3.0,2000-07-30 18:18:45,6629
1,1732,5.0,2000-07-30 18:18:45,6629
1,3450,5.0,2000-07-30 18:19:04,6629
1,2596,5.0,2000-07-30 18:19:04,6629
1,333,5.0,2000-07-30 18:19:39,6629
1,543,4.0,2000-07-30 18:19:39,6629
1,231,5.0,2000-07-30 18:19:39,6629
1,1042,4.0,2000-07-30 18:19:39,6629
1,3052,5.0,2000-07-30 18:20:08,6629
1,216,5.0,2000-07-30 18:20:08,6629
1,500,3.0,2000-07-30 18:20:08,6629
1,3809,4.0,2000-07-30 18:20:20,6629
1,1777,4.0,2000-07-30 18:20:30,6629
1,3,4.0,2000-07-30 18:20:47,6629
1,2542,5.0,2000-07-30 18:21:05,6629
1,2502,5.0,2000-07-30 18:21:18,6629
1,1080,5.0,2000-07-30 18:22:07,6629
1,1136,5.0,2000-07-30 18:22:07,6629
1,1793,4.0,2000-07-30 18:23:24,6629
1,1256,5.0,2000-07-30 18:24:02,6629
1,1927,5.0,2000-07-30 18:24:57,6629
1,923,5.0,2000-07-30 18:25:29,6629
1,3671,5.0,2000-07-30 18:26:29,6629
1,260,5.0,2000-07-30 18:28:00,6629
1,1097,5.0,2000-07-30 18:28:00,6629
1,1073,5.0,2000-07-30 18:28:00,6629
1,2872,5.0,2000-07-30 18:28:00,6629
1,2174,4.0,2000-07-30 18:28:00,6629
1,2093,3.0,2000-07-30 18:28:30,6629
1,2005,5.0,2000-07-30 18:28:30,6629
1,1967,4.0,2000-07-30 18:28:30,6629
1,2161,5.0,2000-07-30 18:28:30,6629
1,367,4.0,2000-07-30 18:28:30,6629
1,2797,4.0,2000-07-30 18:28:30,6629
1,2193,4.0,2000-07-30 18:28:30,6629
1,3479,4.0,2000-07-30 18:28:45,6629
1,2143,4.0,2000-07-30 18:28:45,6629
1,2105,4.0,2000-07-30 18:28:45,6629
1,2054,4.0,2000-07-30 18:29:07,6629
1,2253,2.0,2000-07-30 18:29:35,6629
1,673,3.0,2000-07-30 18:29:35,6629
1,3489,4.0,2000-07-30 18:29:35,6629
1,1009,3.0,2000-07-30 18:29:35,6629
1,1920,4.0,2000-07-30 18:29:40,6629
